id_unidad,nivel
50,INICIAL EN FAMILIA COMUNITARIA
50,PRIMARIA COMUNITARIA VOCACIONAL
51,INICIAL EN FAMILIA COMUNITARIA
51,PRIMARIA COMUNITARIA VOCACIONAL
52,INICIAL EN FAMILIA COMUNITARIA
52,PRIMARIA COMUNITARIA VOCACIONAL
53,SECUNDARIA COMUNITARIA PRODUCTIVA
54,SECUNDARIA COMUNITARIA PRODUCTIVA
55,INICIAL EN FAMILIA COMUNITARIA
55,PRIMARIA COMUNITARIA VOCACIONAL
56,PRIMARIA COMUNITARIA VOCACIONAL
56,SECUNDARIA COMUNITARIA PRODUCTIVA
57,INICIAL EN FAMILIA COMUNITARIA
57,PRIMARIA COMUNITARIA VOCACIONAL
58,INICIAL EN FAMILIA COMUNITARIA
58,PRIMARIA COMUNITARIA VOCACIONAL
58,SECUNDARIA COMUNITARIA PRODUCTIVA
59,INICIAL EN FAMILIA COMUNITARIA
59,PRIMARIA COMUNITARIA VOCACIONAL
59,SECUNDARIA COMUNITARIA PRODUCTIVA
60,INICIAL EN FAMILIA COMUNITARIA
60,PRIMARIA COMUNITARIA VOCACIONAL
60,SECUNDARIA COMUNITARIA PRODUCTIVA
61,SECUNDARIA COMUNITARIA PRODUCTIVA
62,INICIAL EN FAMILIA COMUNITARIA
62,PRIMARIA COMUNITARIA VOCACIONAL
63,INICIAL EN FAMILIA COMUNITARIA
63,PRIMARIA COMUNITARIA VOCACIONAL
63,SECUNDARIA COMUNITARIA PRODUCTIVA
64,SECUNDARIA COMUNITARIA PRODUCTIVA
65,INICIAL EN FAMILIA COMUNITARIA
65,PRIMARIA COMUNITARIA VOCACIONAL
66,INICIAL EN FAMILIA COMUNITARIA
67,INICIAL EN FAMILIA COMUNITARIA
67,PRIMARIA COMUNITARIA VOCACIONAL
67,SECUNDARIA COMUNITARIA PRODUCTIVA
68,INICIAL EN FAMILIA COMUNITARIA
68,PRIMARIA COMUNITARIA VOCACIONAL
69,SECUNDARIA COMUNITARIA PRODUCTIVA
70,SECUNDARIA COMUNITARIA PRODUCTIVA
71,INICIAL EN FAMILIA COMUNITARIA
71,PRIMARIA COMUNITARIA VOCACIONAL
72,INICIAL EN FAMILIA COMUNITARIA
72,PRIMARIA COMUNITARIA VOCACIONAL
72,SECUNDARIA COMUNITARIA PRODUCTIVA
73,SECUNDARIA COMUNITARIA PRODUCTIVA
74,INICIAL EN FAMILIA COMUNITARIA
74,PRIMARIA COMUNITARIA VOCACIONAL
75,SECUNDARIA COMUNITARIA PRODUCTIVA
76,PRIMARIA COMUNITARIA VOCACIONAL
76,SECUNDARIA COMUNITARIA PRODUCTIVA
77,SECUNDARIA COMUNITARIA PRODUCTIVA
78,INICIAL EN FAMILIA COMUNITARIA
78,PRIMARIA COMUNITARIA VOCACIONAL
79,SECUNDARIA COMUNITARIA PRODUCTIVA
80,INICIAL EN FAMILIA COMUNITARIA
80,PRIMARIA COMUNITARIA VOCACIONAL
81,SECUNDARIA COMUNITARIA PRODUCTIVA
82,INICIAL EN FAMILIA COMUNITARIA
82,PRIMARIA COMUNITARIA VOCACIONAL
83,INICIAL EN FAMILIA COMUNITARIA
83,PRIMARIA COMUNITARIA VOCACIONAL
84,INICIAL EN FAMILIA COMUNITARIA
84,PRIMARIA COMUNITARIA VOCACIONAL
84,SECUNDARIA COMUNITARIA PRODUCTIVA
85,INICIAL EN FAMILIA COMUNITARIA
85,PRIMARIA COMUNITARIA VOCACIONAL
86,INICIAL EN FAMILIA COMUNITARIA
86,PRIMARIA COMUNITARIA VOCACIONAL
86,SECUNDARIA COMUNITARIA PRODUCTIVA
87,INICIAL EN FAMILIA COMUNITARIA
87,PRIMARIA COMUNITARIA VOCACIONAL
88,INICIAL EN FAMILIA COMUNITARIA
88,PRIMARIA COMUNITARIA VOCACIONAL
89,INICIAL EN FAMILIA COMUNITARIA
89,PRIMARIA COMUNITARIA VOCACIONAL
90,SECUNDARIA COMUNITARIA PRODUCTIVA
91,INICIAL EN FAMILIA COMUNITARIA
91,PRIMARIA COMUNITARIA VOCACIONAL
91,SECUNDARIA COMUNITARIA PRODUCTIVA
92,INICIAL EN FAMILIA COMUNITARIA
92,PRIMARIA COMUNITARIA VOCACIONAL
92,SECUNDARIA COMUNITARIA PRODUCTIVA
93,INICIAL EN FAMILIA COMUNITARIA
93,PRIMARIA COMUNITARIA VOCACIONAL
93,SECUNDARIA COMUNITARIA PRODUCTIVA
94,INICIAL EN FAMILIA COMUNITARIA
94,PRIMARIA COMUNITARIA VOCACIONAL
94,SECUNDARIA COMUNITARIA PRODUCTIVA
95,INICIAL EN FAMILIA COMUNITARIA
95,PRIMARIA COMUNITARIA VOCACIONAL
96,SECUNDARIA COMUNITARIA PRODUCTIVA
97,INICIAL EN FAMILIA COMUNITARIA
97,PRIMARIA COMUNITARIA VOCACIONAL
97,SECUNDARIA COMUNITARIA PRODUCTIVA
98,INICIAL EN FAMILIA COMUNITARIA
98,PRIMARIA COMUNITARIA VOCACIONAL
99,SECUNDARIA COMUNITARIA PRODUCTIVA
100,SECUNDARIA COMUNITARIA PRODUCTIVA
101,INICIAL EN FAMILIA COMUNITARIA
101,PRIMARIA COMUNITARIA VOCACIONAL
102,INICIAL EN FAMILIA COMUNITARIA
102,PRIMARIA COMUNITARIA VOCACIONAL
103,INICIAL EN FAMILIA COMUNITARIA
104,INICIAL EN FAMILIA COMUNITARIA
104,PRIMARIA COMUNITARIA VOCACIONAL
104,SECUNDARIA COMUNITARIA PRODUCTIVA
105,PRIMARIA COMUNITARIA VOCACIONAL
105,SECUNDARIA COMUNITARIA PRODUCTIVA
106,INICIAL EN FAMILIA COMUNITARIA
106,PRIMARIA COMUNITARIA VOCACIONAL
107,INICIAL EN FAMILIA COMUNITARIA
107,PRIMARIA COMUNITARIA VOCACIONAL
108,SECUNDARIA COMUNITARIA PRODUCTIVA
109,PRIMARIA COMUNITARIA VOCACIONAL
109,SECUNDARIA COMUNITARIA PRODUCTIVA
110,INICIAL EN FAMILIA COMUNITARIA
110,PRIMARIA COMUNITARIA VOCACIONAL
111,INICIAL EN FAMILIA COMUNITARIA
111,PRIMARIA COMUNITARIA VOCACIONAL
111,SECUNDARIA COMUNITARIA PRODUCTIVA
112,INICIAL EN FAMILIA COMUNITARIA
112,PRIMARIA COMUNITARIA VOCACIONAL
112,SECUNDARIA COMUNITARIA PRODUCTIVA
113,INICIAL EN FAMILIA COMUNITARIA
113,PRIMARIA COMUNITARIA VOCACIONAL
113,SECUNDARIA COMUNITARIA PRODUCTIVA
114,INICIAL EN FAMILIA COMUNITARIA
114,PRIMARIA COMUNITARIA VOCACIONAL
115,SECUNDARIA COMUNITARIA PRODUCTIVA
116,INICIAL EN FAMILIA COMUNITARIA
116,PRIMARIA COMUNITARIA VOCACIONAL
117,SECUNDARIA COMUNITARIA PRODUCTIVA
118,INICIAL EN FAMILIA COMUNITARIA
118,PRIMARIA COMUNITARIA VOCACIONAL
119,INICIAL EN FAMILIA COMUNITARIA
119,PRIMARIA COMUNITARIA VOCACIONAL
119,SECUNDARIA COMUNITARIA PRODUCTIVA
120,SECUNDARIA COMUNITARIA PRODUCTIVA
121,INICIAL EN FAMILIA COMUNITARIA
121,PRIMARIA COMUNITARIA VOCACIONAL
122,INICIAL EN FAMILIA COMUNITARIA
122,PRIMARIA COMUNITARIA VOCACIONAL
122,SECUNDARIA COMUNITARIA PRODUCTIVA
123,INICIAL EN FAMILIA COMUNITARIA
123,PRIMARIA COMUNITARIA VOCACIONAL
123,SECUNDARIA COMUNITARIA PRODUCTIVA
124,INICIAL EN FAMILIA COMUNITARIA
124,PRIMARIA COMUNITARIA VOCACIONAL
125,INICIAL EN FAMILIA COMUNITARIA
125,PRIMARIA COMUNITARIA VOCACIONAL
125,SECUNDARIA COMUNITARIA PRODUCTIVA
126,INICIAL EN FAMILIA COMUNITARIA
126,PRIMARIA COMUNITARIA VOCACIONAL
126,SECUNDARIA COMUNITARIA PRODUCTIVA
