nombre_nivel
EDUCACIÓN PRIMARIA DE ADULTOS
EDUCACIÓN SECUNDARIA DE ADULTOS
TÉCNICO AUXILIAR
TÉCNICO BÁSICO
TÉCNICO MEDIO
PERMANENTE CENTROS Y TALLERES DE APOYO
PERMANENTE EDUCACIÓN ADULTO MAYOR
PERMANENTE EDUCACIÓN COMUNITARIA
PERMANENTE COMUNICACIÓN POR RADIO
PERMANENTE COMUNICACIÓN POR TELEVISIÓN
ESPECIAL
OPERARIO
INICIAL EN FAMILIA COMUNITARIA
PRIMARIA COMUNITARIA VOCACIONAL
SECUNDARIA COMUNITARIA PRODUCTIVA
