id_unidad,nombre_unidad,dependencia,tipo,zona,direccion,latitud,longitud,telefono_fijo,telefono_celular,distrito
231,VILLA TUNARI TARDE,FISCAL,EDUCACIÓN REGULAR,VILLA TUNARI,AV. SUCRE S/N,-16.49799919,-68.19761658,,,4.0
232,ANTOFAGASTA,FISCAL,EDUCACIÓN REGULAR,VILLA TUNARI,AV. SUCRE S/N,-16.49799919,-68.19761658,,,4.0
233,OCOMISTO,FISCAL,EDUCACIÓN REGULAR,OCOMISTO,OCOMISTO CAMINO A LAJA A 21 KM DE LA CEJA,-16.50230026,-68.2775116,,,11.0
234,LIBERTAD,FISCAL,EDUCACIÓN REGULAR,MARISCAL SUCRE SUR,CALLE CARDAVILA S/N,-16.48800087,-68.22671509,,,4.0
235,JUAN JOSE TORREZ GONZALES C,FISCAL,EDUCACIÓN REGULAR,ALTO LIMA 2DA. SECCION,AV. FINAL HUAYNA POTOSI S/N,-16.47089958,-68.16990662,,,6.0
236,JUAN JOSE TORREZ GONZALES A,FISCAL,EDUCACIÓN REGULAR,ALTO LIMA 2DA. SECCION,AV. FINAL HUAYNA POTOSI S/N,-16.47089958,-68.16990662,,,6.0
237,JUAN JOSE TORREZ GONZALES B,FISCAL,EDUCACIÓN REGULAR,ALTO LIMA 2DA. SECCION,AV. FINAL HUAYNA POTOSI S/N,-16.47089958,-68.16990662,,,6.0
238,16 DE AGOSTO,FISCAL,EDUCACIÓN REGULAR,16 DE AGOSTO,KM. 12 EL ALTO HUARINA,-16.48259926,-68.27584076,,,7.0
239,MCAL. DE AYACUCHO,PRIVADA,EDUCACIÓN REGULAR,BALLIVIAN,SARGENTO CARRASCO Nro 124,-16.49060059,-68.17491913,,,6.0
240,ADVENTISTA SALOMON,PRIVADA,EDUCACIÓN REGULAR,TEJADA RECTANGULAR,CALLE 17 Nro 120,-16.52599907,-68.1578598,,,1.0
241,VENEZUELA PLAN 3000 A,FISCAL,EDUCACIÓN REGULAR,URBANIZACION COPACABANA B PLAN 3000,CALLE LOS OLIVOS S/N,-16.61070904,-68.2008317,,,8.0
242,VENEZUELA PLAN 3000 B,FISCAL,EDUCACIÓN REGULAR,URBANIZACION COPACABANA B PLAN 3000,CALLE LOS OLIVOS S/N,-16.61070904,-68.2008317,,,8.0
243,LA PAZ MAÑANA,FISCAL,EDUCACIÓN REGULAR,URBANIZACION COSMOS 78,AVENIDA G S/N,-16.52899933,-68.19995117,,,3.0
244,LA PAZ TARDE,FISCAL,EDUCACIÓN REGULAR,URBANIZACION COSMOS 78,AVENIDA G S/N,-16.52899933,-68.19995117,,,3.0
245,VICENTE TEJADA NOCHE,FISCAL,EDUCACIÓN REGULAR,URBANIZACION VILLA TEJADA,CALLE 9 Nro 100,-16.51939964,-68.15532684,,,1.0
246,VICENTE TEJADA TARDE,FISCAL,EDUCACIÓN REGULAR,URBANIZACION VILLA TEJADA,CALLE 9 Nro 100,-16.51939964,-68.15532684,,,1.0
247,VICENTE TEJADA MAÑANA,FISCAL,EDUCACIÓN REGULAR,URBANIZACION VILLA TEJADA,CALLE 9 Nro 100,-16.51939964,-68.15532684,,,1.0
248,SAN JERONIMO NOCHE,CONVENIO,EDUCACIÓN REGULAR,URB. IRO. MAYO,AV. COCHABAMBA LADO PARROQUIA S/N,-16.53300095,-68.20040894,,,3.0
249,JESUS OBRERO MAÑANA,CONVENIO,EDUCACIÓN REGULAR,URB. IRO. MAYO,AV. COCHABAMBA LADO PARROQUIA S/N,-16.53300095,-68.20040894,,,3.0
250,5 DE AGOSTO LAS NIEVES,FISCAL,EDUCACIÓN REGULAR,URBANIZACION LAS NIEVES,CALLE SUCRE S/N,-16.60440063,-68.19792938,,,8.0
251,LOS ANDES TARDE,FISCAL,EDUCACIÓN REGULAR,LOS ANDES,AV. LA PAZ S/N,-16.49479028,-68.18431228,,,6.0
252,LOS ANDES MAÑANA,FISCAL,EDUCACIÓN REGULAR,LOS ANDES,AV. LA PAZ S/N,-16.49479028,-68.18431228,,,6.0
253,LUIS ESPINAL NUEVO VENTILLA,FISCAL,EDUCACIÓN REGULAR,URBANIZACION LUIS ESPINAL NUEVO VENTILLA,AVENIDA ANTONIO PAREDEZ CANDIA S/N,-16.61319923,-68.17648315,,,8.0
254,GRAN BRETAÑA TARDE,FISCAL,EDUCACIÓN REGULAR,LOS ANDES,CALLE BALBOA Y PASCOE S/N,-16.49329948,-68.18788147,,,6.0
255,GRAN BRETAÑA MAÑANA,FISCAL,EDUCACIÓN REGULAR,LOS ANDES,CALLE BALBOA Y PASCOE S/N,-16.49329948,-68.18788147,,,6.0
256,RAFAEL PABON,FISCAL,EDUCACIÓN REGULAR,GERMAN BUSCH,CALLE RADIO CONDOR S/N,-16.46299934,-68.17411041,,,5.0
257,MCAL. JOSE BALLIVIAN A,FISCAL,EDUCACIÓN REGULAR,BALLIVIAN,RENE VARGAS Y ALVAREZ PLATA Nro 200,-16.48970032,-68.17869568,,,6.0
258,MCAL. JOSE BALLIVIAN C,FISCAL,EDUCACIÓN REGULAR,BALLIVIAN,RENE VARGAS Y ALVAREZ PLATA Nro 200,-16.48970032,-68.17869568,,,6.0
